VM,IPv4,Folder,OS
Agadir-app,192.168.127.106,/KleeGroup-Hosting/DC4/Rct01,CentOS 4/5/6 (64-bit)
Agadir-BDD,192.168.127.107,/KleeGroup-Hosting/DC4/Rct01,CentOS 4/5/6 (64-bit)
Agadir-search,192.168.127.108,/KleeGroup-Hosting/DC4/Rct01,CentOS 4/5/6 (64-bit)
alec.kleegroup.com,192.168.139.11,/KleeGroup-Hosting/DC4/Mutualise,CentOS 4/5/6 (64-bit)
archimed-rct-ext,192.168.127.41,/KleeGroup-Hosting/DC4/Rct01,Other (32-bit)
atlas-ext,192.168.127.158,/KleeGroup-Hosting/DC4/Rct01,Microsoft Windows Server 2016 or later (64-bit)
BAF-EXT-BDD,192.168.127.211,/KleeGroup-Hosting/DC4/Rct01,Other (32-bit)
BAF-EXT-SEARCH,192.168.127.210,/KleeGroup-Hosting/DC4/Rct01,Debian GNU/Linux 11 (64-bit)
BAF-EXT-SSO1,192.168.127.212,/KleeGroup-Hosting/DC4/Rct01,Debian GNU/Linux 11 (64-bit)
BAF-EXT-SSO2,192.168.127.213,/KleeGroup-Hosting/DC4/Rct01,Debian GNU/Linux 11 (64-bit)
BAF-EXT-WEB-APP,192.168.127.208,/KleeGroup-Hosting/DC4/Rct01,Other (32-bit)
cbw-probe-data4-01,192.168.89.9,/KleeGroup-Hosting/DC4/Management,Other (32-bit)
cbw-probe-equinix-01,192.168.89.137,/KleeGroup-Hosting/TCC/Management,Other (32-bit)
CDC-ANALYTICS-APP,192.168.127.126,/KleeGroup-Hosting/DC4/Rct01,Debian GNU/Linux 10 (64-bit)
CDC-ANALYTICS-BDD,192.168.127.156,/KleeGroup-Hosting/DC4/Rct01,Debian GNU/Linux 10 (64-bit)
CDC-APP1,192.168.127.115,/KleeGroup-Hosting/DC4/Rct01,Debian GNU/Linux 10 (64-bit)
CDC-APP2,192.168.127.238,/KleeGroup-Hosting/DC4/Rct01,Debian GNU/Linux 10 (64-bit)
CDC-APPS,192.168.127.145,/KleeGroup-Hosting/DC4/Rct01,Debian GNU/Linux 10 (64-bit)
CDC-BDD,192.168.127.194,/KleeGroup-Hosting/DC4/Rct01,Debian GNU/Linux 10 (64-bit)
CDC-MONITORING-APP,192.168.127.138,/KleeGroup-Hosting/DC4/Rct01,Debian GNU/Linux 10 (64-bit)
CDC-MQ,192.168.127.199,/KleeGroup-Hosting/DC4/Rct01,Red Hat Enterprise Linux 7 (64-bit)
CDC-SEARCH,192.168.127.189,/KleeGroup-Hosting/DC4/Rct01,Debian GNU/Linux 10 (64-bit)
CDC-WEB1,192.168.127.114,/KleeGroup-Hosting/DC4/Rct01,Debian GNU/Linux 10 (64-bit)
ceres-api-recext,192.168.127.12,/KleeGroup-Hosting/DC4/Rct01,Other 4.x or later Linux (64-bit)
ceres-es-recext2,192.168.127.98,/KleeGroup-Hosting/DC4/Rct01,Red Hat Enterprise Linux 7 (64-bit)
CERES-EXT,192.168.127.166,/KleeGroup-Hosting/DC4/Rct01,Red Hat Enterprise Linux 7 (64-bit)
ceres-recext2,192.168.127.15,/KleeGroup-Hosting/DC4/Rct01,Red Hat Enterprise Linux 7 (64-bit)
Chatbot-Factory,192.168.127.11,/KleeGroup-Hosting/DC4/Rct01,Red Hat Enterprise Linux 7 (64-bit)
cig-hygie-rec-externe-1,192.168.127.230,/KleeGroup-Hosting/DC4/Rct01,Red Hat Enterprise Linux 7 (64-bit)
cig-hygie-rec-externe-2,192.168.127.231,/KleeGroup-Hosting/DC4/Rct01,Red Hat Enterprise Linux 7 (64-bit)
CLIENT-VPN1,192.168.127.100,/KleeGroup-Hosting/DC4/Rct01,Microsoft Windows Server 2008 R2 (64-bit)
CLIENT-VPN2,192.168.127.99,/KleeGroup-Hosting/DC4/Rct01,Microsoft Windows 8.x (64-bit)
cnaps-app,192.168.127.197,/KleeGroup-Hosting/DC4/Rct01,Red Hat Enterprise Linux 7 (64-bit)
cnaps-data,192.168.127.196,/KleeGroup-Hosting/DC4/Rct01,Red Hat Enterprise Linux 7 (64-bit)
cnaps-sso,192.168.127.198,/KleeGroup-Hosting/DC4/Rct01,Red Hat Enterprise Linux 7 (64-bit)
cnc-sofi-backup,192.168.127.20,/KleeGroup-Hosting/DC4/Rct01,Oracle Solaris 10 (64-bit)
coach-climat,192.168.127.36,/KleeGroup-Hosting/DC4/Rct01,Other (32-bit)
coach-climat-pers,192.168.127.37,/KleeGroup-Hosting/DC4/Rct01,Other (32-bit)
confluence-santefr,192.168.127.23,/KleeGroup-Hosting/DC4/Rct01,Debian GNU/Linux 9 (64-bit)
CP2I_Postgres96_utf8-rct,192.168.127.19,/KleeGroup-Hosting/DC4/Rct01,Red Hat Enterprise Linux 7 (64-bit)
cp2i-numero-unique-rct,192.168.127.18,/KleeGroup-Hosting/DC4/Rct01,CentOS 7 (64-bit)
